KEY,DESCRIPTION,VALUE
19,EJECUTIVO,EJECUTIVO
20,OBRERO,OBRERO
21,EMPLEADO,EMPLEADO
22,TRABAJADOR PORTUARIO - LEY 27866,TRAB.PORTUARIO
23,PRACTICANTE SENATI - DEC. LEY 20151,PRACT. SENATI
24,PENSIONISTA O CESANTE,PENSIONISTA O CESANTE
26,PENSIONISTA - LEY 28320,PENSIONISTA - LEY 28320
27,CONSTRUCCIÓN CIVIL,CONSTRUCCIÓN CIVIL
28,PILOTO Y COPILOTO DE AVIACIÓN COMERCIAL,PILOTO Y COPIL DE AVIA. COM.
29,MARÍTIMO,FLUVIAL O LACUSTRE,MARÍT,FLUVIAL O LACUSTRE
30,PERIODISTA,PERIODISTA
31,TRABAJADOR DE LA INDUSTRIA DE CUERO,TRAB. DE LA IND. DE CUERO
32,MINERO DE MINA DE SOCAVÓN,MINERO DE SOCAVÓN
36,PESCADOR - LEY 28320,PESCADOR - LEY 28320
37,MINERO DE TAJO ABIERTO,MINERO DE TAJO ABIERTO
38,MINERO DE INDUSTRIA MINERA METALÚRGICA,MINERO IND. MINERA METAL.
56,ARTISTA -  LEY 28131,ARTISTA -  LEY 28131
64,AGRARIO DEPENDIENTE - LEY 27360,AGRARIO DEPEND.- LEY 27360
65,TRABAJADOR ACTIVIDAD ACUÍCOLA - LEY 27460,TRAB. ACTIV.ACUÍCOLA LEY 27460
66,PESCADOR Y PROCESADOR ARTESANAL INDEPENDIENTE  - LEY 27177,PESC.Y PROC.ARTES.INDEP.
71,CONDUCTOR DE MICROEMPRESA REMYPE - D.LEG.1086,CONDUCT MICROEMP.REMYPE D.L.1086
98,PERSONA QUE GENERA INGRESOS DE CUARTA - QUINTA CATEGORÍA,CUARTA - QUINTA CATEGORÍA

